"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
851,"1_DEMAYO","1_DEMAYO_19001",-12.1946,-76.9510,300,50,,0.1200,"|","MME_POOL","0",408,34977,6,2,21,161,2502,1,"330","1",,,,,"VILLA EL SALVADOR","LTE_1900",0
851,"1_DEMAYO","1_DEMAYO_19002",-12.1946,-76.9510,60,50,,0.1200,"|","MME_POOL","0",408,34978,6,1,21,160,2502,1,"306","1",,,,,"VILLA EL SALVADOR","LTE_1900",0
851,"1_DEMAYO","1_DEMAYO_19003",-12.1946,-76.9510,185,50,,0.1200,"|","MME_POOL","0",408,34979,6,2,21,159,2502,1,"786","1",,,,,"VILLA EL SALVADOR","LTE_1900",0
851,"22_AGOSTO","22_AGOSTO_19001",-11.9479,-77.0584,320,50,,0.1200,"|","MME_POOL","0",3379,20477,4,0,24,118,2040,1,"120","1",,,,,"COMAS","LTE_1900_DIA2",0
851,"22_AGOSTO","22_AGOSTO_19002",-11.9479,-77.0584,70,50,,0.1200,"|","MME_POOL","0",3379,20478,4,0,24,119,2040,1,"130","1",,,,,"COMAS","LTE_1900_DIA2",0
851,"22_AGOSTO","22_AGOSTO_19003",-11.9479,-77.0584,230,50,,0.1200,"|","MME_POOL","0",3379,20479,6,0,24,117,2040,1,"140","1",,,,,"COMAS","LTE_1900_DIA2",0
851,"25_DEMARZO","25_DEMARZO_19001",-12.2931,-76.8500,320,50,,0.1200,"|","MME_POOL","0",2246,19827,6,0,24,276,2100,1,"675","1",,,,,"LURIN","LTE_1900",0
851,"25_DEMARZO","25_DEMARZO_19002",-12.2931,-76.8500,140,50,,0.1200,"|","MME_POOL","0",2246,19828,6,0,24,277,2100,1,"681","1",,,,,"LURIN","LTE_1900",0
851,"25_DEMARZO","25_DEMARZO_19003",-12.2931,-76.8500,240,50,,0.1200,"|","MME_POOL","0",2246,19829,6,0,24,278,2100,1,"687","1",,,,,"LURIN","LTE_1900",0
851,"26_LA_PAZ","26_LA_PAZ_19001",-12.0790,-77.1080,295,50,,0.1200,"|","MME_POOL","0",3352,53217,6,0,16,223,2531,1,"140","1",,,,,"SAN MIGUEL","LTE_1900",0
851,"26_LA_PAZ","26_LA_PAZ_19002",-12.0790,-77.1080,40,50,,0.1200,"|","MME_POOL","0",3352,53218,4,0,16,222,2531,1,"470","1",,,,,"SAN MIGUEL","LTE_1900",0
851,"26_LA_PAZ","26_LA_PAZ_19003",-12.0790,-77.1080,120,50,,0.1200,"|","MME_POOL","0",3352,53219,5,0,16,224,2531,1,"650","1",,,,,"SAN MIGUEL","LTE_1900",0
851,"27_DICIEMBRE","27_DICIEMBRE_19001",-12.1869,-76.9260,350,50,,0.1200,"|","MME_POOL","0",3463,2647,4,0,17,4,2502,1,"650","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"27_DICIEMBRE","27_DICIEMBRE_19002",-12.1869,-76.9260,135,50,,0.1200,"|","MME_POOL","0",3463,2648,4,0,17,3,2502,1,"740","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"27_DICIEMBRE","27_DICIEMBRE_19003",-12.1869,-76.9260,245,50,,0.1200,"|","MME_POOL","0",3463,2649,5,0,17,5,2502,1,"350","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"28_DICIEMBRE","28_DICIEMBRE_19001",-12.1595,-76.9439,250,50,,0.1200,"|","MME_POOL","0",1662,23247,7,0,15,253,2502,1,"253","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"28_DICIEMBRE","28_DICIEMBRE_19002",-12.1595,-76.9439,60,50,,0.1200,"|","MME_POOL","0",1662,23248,5,0,15,252,2502,1,"487","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"28_DICIEMBRE","28_DICIEMBRE_19003",-12.1595,-76.9439,150,50,,0.1200,"|","MME_POOL","0",1662,23249,7,0,15,254,2502,1,"293","1",,,,,"VILLA MARIA DEL TRIUNFO","LTE_1900",0
851,"3_DE_FEBRERO","3_DE_FEBRERO_19001",-12.0667,-77.0109,300,50,,0.1200,"|","MME_POOL","0",774,4537,7,0,27,79,2322,1,"88","1",,,,,"LA VICTORIA","LTE_1900",0
851,"3_DE_FEBRERO","3_DE_FEBRERO_19002",-12.0667,-77.0109,60,50,,0.1200,"|","MME_POOL","0",774,4538,7,0,27,80,2322,1,"400","1",,,,,"LA VICTORIA","LTE_1900",0
851,"3_DE_FEBRERO","3_DE_FEBRERO_19003",-12.0667,-77.0109,170,50,,0.1200,"|","MME_POOL","0",774,4539,6,0,27,78,2322,1,"384","1",,,,,"LA VICTORIA","LTE_1900",0
851,"3_OCTUBRE","3_OCTUBRE_19001",-11.8733,-77.0235,20,50,,0.1200,"|","MME_POOL","0",497,2537,5,0,18,392,2040,1,"110","1",,,,,"CARABAYLLO","LTE_1900_DIA2",0
851,"3_OCTUBRE","3_OCTUBRE_19002",-11.8733,-77.0235,150,50,,0.1200,"|","MME_POOL","0",497,2538,6,0,18,391,2040,1,"100","1",,,,,"CARABAYLLO","LTE_1900_DIA2",0
851,"3_OCTUBRE","3_OCTUBRE_19003",-11.8733,-77.0235,250,50,,0.1200,"|","MME_POOL","0",497,2539,7,0,18,390,2040,1,"140","1",,,,,"CARABAYLLO","LTE_1900_DIA2",0
851,"7_DE_MAYO","7_DE_MAYO_19001",-12.0071,-77.0760,310,50,,0.1200,"|","MME_POOL","0",717,4187,6,0,18,490,2110,1,"654","1",,,,,"LOS OLIVOS","LTE_1900",0
851,"7_DE_MAYO","7_DE_MAYO_19002",-12.0071,-77.0760,50,50,,0.1200,"|","MME_POOL","0",717,4188,6,0,18,491,2110,1,"547","1",,,,,"LOS OLIVOS","LTE_1900",0
