"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
850,"1_DEMAYO 1",-12.1946,-76.9510,300,70,0.1300,25248,363921,"BSC01NLV",1313,538,3,239,1,"creado",0,6,3,1,1,1123,123,"GRUPO1"
850,"1_DEMAYO 2",-12.1946,-76.9510,90,70,0.1300,25249,363921,"BSC01NLV",1313,539,4,156,1,"creado",0,2,5,1,1,1123,123,"GRUPO1"
850,"1_DEMAYO 3",-12.1946,-76.9510,210,70,0.1300,25254,363921,"BSC01NLV",1313,540,7,237,1,"creado",0,3,6,1,1,1123,123,"GRUPO1"
850,"22_AGOSTO 1",-11.9479,-77.0584,320,70,0.1300,6931,397196,"BSC03NMA",1164,1164,1,234,1,"creado",13,6,0,1,1,1134,134,
850,"22_AGOSTO 1",-11.9479,-77.0584,320,70,0.1300,6931,397196,"BSC03NMA",1164,1164,2,155,0,"creado",13,6,0,1,1,1134,134,
850,"22_AGOSTO 2",-11.9479,-77.0584,70,70,0.1300,6932,397196,"BSC03NMA",1164,1165,3,181,1,"creado",51,2,7,1,1,1134,134,
850,"22_AGOSTO 2",-11.9479,-77.0584,70,70,0.1300,6932,397196,"BSC03NMA",1164,1165,4,128,0,"creado",51,2,7,1,1,1134,134,
850,"22_AGOSTO 3",-11.9479,-77.0584,230,70,0.1300,6933,397196,"BSC03NMA",1164,1166,5,236,1,"creado",3,4,3,1,1,1134,134,
850,"22_AGOSTO 3",-11.9479,-77.0584,230,70,0.1300,6933,397196,"BSC03NMA",1164,1166,6,238,0,"creado",3,4,3,1,1,1134,134,
850,"25_DEMARZO 1",-12.2931,-76.8500,320,70,0.1300,16913,363921,"BSC01NLV",291,291,1,181,1,"creado",19,0,0,1,1,1123,123,
850,"25_DEMARZO 1",-12.2931,-76.8500,320,70,0.1300,16913,363921,"BSC01NLV",291,291,2,131,0,"creado",19,0,0,1,1,1123,123,
850,"25_DEMARZO 2",-12.2931,-76.8500,140,70,0.1300,16918,363921,"BSC01NLV",291,292,3,129,1,"creado",44,5,6,1,1,1123,123,
850,"25_DEMARZO 2",-12.2931,-76.8500,140,70,0.1300,16918,363921,"BSC01NLV",291,292,4,155,0,"creado",44,5,6,1,1,1123,123,
850,"25_DEMARZO 3",-12.2931,-76.8500,240,70,0.1300,16919,363921,"BSC01NLV",291,293,5,238,1,"creado",34,3,0,1,1,1123,123,
