"UARFCN","SITE_name","SITE_CODE","name","LAT_SITE","LON_SITE","AZ","BW","RD","Expr1","BSC_RNC_MME_NAME","RncId","WbtsId","LcrId","TE","TM","ALT","PriScrCode","LAC","RAC","rootSeqIndex","AdminCellState","WCelState"
4362,"PARQUE_RIO_SENA","LI04039","PARQUE_RIO_SENA 2-C1",-12.1146,-76.9338,180,40,0.1000,"|","RNC01NSI",33,20630,20634,0.0000,-1.0000,30.0000,247,2510,100,0," 1",0
4362,"PASAJE_A","LI01040","PASAJE_A 2-C1",-11.8573,-77.1281,90,40,0.1000,"|","RNC05NSI",51,2435,2437,4.0000,0.0000,12.0000,364,2351,111,0," 1",0
4362,"PARQUE_SAN_MARTIN","LI04069","PARQUE_SAN_MARTIN 2-C1",-12.1059,-77.0012,45,40,0.1000,"|","RNC02NMA",6,62682,62683,7.0000,0.0000,20.8500,98,2200,200,0," 1",0
4362,"PARQUE_SAN_MARTIN","LI04069","PARQUE_SAN_MARTIN 1-C1",-12.1059,-77.0012,300,40,0.1000,"|","RNC02NMA",6,62682,62682,8.0000,0.0000,20.8500,97,2200,200,0," 1",0
4362,"PARQUE_SAN_COSME","LI05958","PARQUE_SAN_COSME 3-C1",-12.0622,-77.0048,260,40,0.1000,"|","RNC03NLV",20,19751,60704,7.0000,0.0000,27.0000,286,2322,225,0," 1",0
4362,"PARQUE_SAN_COSME","LI05958","PARQUE_SAN_COSME 2-C1",-12.0622,-77.0048,140,40,0.1000,"|","RNC03NLV",20,19751,43970,7.0000,0.0000,27.0000,285,2322,225,0," 1",0
4362,"PARQUE_SAN_COSME","LI05958","PARQUE_SAN_COSME 1-C1",-12.0622,-77.0048,30,40,0.1000,"|","RNC03NLV",20,19751,19751,7.0000,2.0000,27.0000,284,2322,225,0," 1",0
4362,"PARQUE_SALCEDITO","LI06043","PARQUE_SALCEDITO 3-C1",-11.9313,-77.0548,250,40,0.1000,"|","RNC05NLV",54,16894,16922,7.0000,0.0000,20.0000,139,2040,154,0," 1",0
4362,"PARQUE_SALCEDITO","LI06043","PARQUE_SALCEDITO 2-C1",-11.9313,-77.0548,110,40,0.1000,"|","RNC05NLV",54,16894,16917,7.0000,0.0000,20.0000,138,2040,154,0," 1",0
4362,"PARQUE_SAN_SALVADOR","LI06072","PARQUE_SAN_SALVADOR 1-C1",-12.2105,-77.0206,300,40,0.1000,"|","RNC04NMA",19,4995,4995,7.0000,1.0000,22.0000,464,2502,237,0," 1",0
4362,"PARQUE_RIO_SENA","LI04039","PARQUE_RIO_SENA 3-C1",-12.1146,-76.9338,260,40,0.1000,"|","RNC01NSI",33,20630,20638,10.0000,0.0000,30.0000,248,2510,100,0," 1",0
4362,"PARQUE_SAN_SALVADOR","LI06072","PARQUE_SAN_SALVADOR 2-C1",-12.2105,-77.0206,10,40,0.1000,"|","RNC04NMA",19,4995,4997,7.0000,0.0000,22.0000,465,2502,237,0," 1",0
4362,"PARQUE_RIO_SENA","LI04039","PARQUE_RIO_SENA 1-C1",-12.1146,-76.9338,80,40,0.1000,"|","RNC01NSI",33,20630,14818,1.0000,0.0000,30.0000,246,2510,100,0," 1",0
4362,"PARQUE_REPORTEROS_GRAFICOS","LI06346","PARQUE_REPORTEROS_GRAFICOS 3-C1",-12.1567,-76.9816,230,40,0.1000,"|","RNC04NLV",29,4201,4256,7.0000,2.0000,24.0000,482,2331,191,0," 1",0
4362,"PARQUE_REPORTEROS_GRAFICOS","LI06346","PARQUE_REPORTEROS_GRAFICOS 2-C1",-12.1567,-76.9816,100,40,0.1000,"|","RNC04NLV",29,4201,4254,7.0000,0.0000,24.0000,481,2331,191,0," 1",0
4362,"PARQUE_REPORTEROS_GRAFICOS","LI06346","PARQUE_REPORTEROS_GRAFICOS 1-C1",-12.1567,-76.9816,330,40,0.1000,"|","RNC04NLV",29,4201,4201,7.0000,0.0000,24.0000,480,2331,191,0," 1",0
4362,"PARQUE_PERSHING","LI06333","PARQUE_PERSHING 3-C1",-12.0798,-77.0768,190,40,0.1000,"|","RNC03NSI",39,18890,63525,7.0000,2.0000,23.0000,63,2531,141,0," 1",0
4362,"PARQUE_PERSHING","LI06333","PARQUE_PERSHING 2-C1",-12.0798,-77.0768,50,40,0.1000,"|","RNC03NSI",39,18890,62259,7.0000,1.0000,23.0000,62,2531,141,0," 1",0
4362,"PARQUE_PERSHING","LI06333","PARQUE_PERSHING 1-C1",-12.0798,-77.0768,290,40,0.1000,"|","RNC03NSI",39,18890,18890,7.0000,2.0000,23.0000,61,2531,141,0," 1",0
4362,"PARQUE_PACHACAMILLA","LI05788","PARQUE_PACHACAMILLA 3-C1",-11.9721,-77.1126,150,40,0.1000,"|","RNC07NMA",57,17751,17912,7.0000,1.0000,20.0000,326,2110,167,0," 1",0
4362,"PARQUE_PACHACAMILLA","LI05788","PARQUE_PACHACAMILLA 2-C1",-11.9721,-77.1126,20,40,0.1000,"|","RNC07NMA",57,17751,17753,7.0000,1.0000,20.0000,325,2110,167,0," 1",0
4362,"PARQUE_SALCEDITO","LI06043","PARQUE_SALCEDITO 1-C1",-11.9313,-77.0548,340,40,0.1000,"|","RNC05NLV",54,16894,16894,7.0000,0.0000,20.0000,137,2040,154,0," 1",0
4362,"PARQUEBAJO","LI00169","PARQUEBAJO 3-C1",-12.1540,-77.0143,185,40,0.1000,"|","RNC04NLV",29,1170,11707,7.0000,0.0000,21.0000,363,2330,190,0," 1",0
4362,"PARAISO_1RAETAPA","LI00745","PARAISO_1RAETAPA 1-C1",-11.9848,-77.0946,280,40,0.1000,"|","RNC07NMA",57,11359,11359,6.0000,0.0000,19.0000,333,2110,167,0," 1",0
4362,"PARURO","LI01605","PARURO 3-C1",-12.0513,-77.0241,190,40,0.1000,"|","RNC02NLV",8,1172,11727,7.0000,0.0000,12.5000,263,2306,170,0," 1",0
4362,"PARURO","LI01605","PARURO 2-C1",-12.0513,-77.0241,50,40,0.1000,"|","RNC02NLV",8,1172,11726,5.0000,0.0000,12.5000,262,2306,170,0," 1",0
4362,"PARURO","LI01605","PARURO 1-C1",-12.0513,-77.0241,300,40,0.1000,"|","RNC02NLV",8,1172,11725,7.0000,0.0000,12.5000,261,2306,170,0," 1",0
4362,"PARRALES","LI00292","PARRALES 3-C1",-12.1656,-76.9919,150,40,0.1000,"|","RNC04NLV",29,1289,12897,6.5000,0.0000,18.0000,443,2330,190,0," 1",0
4362,"PARRALES","LI00292","PARRALES 2-C1",-12.1656,-76.9919,30,40,0.1000,"|","RNC04NLV",29,1289,12896,5.0000,0.0000,18.0000,442,2330,190,0," 1",0
4362,"PARRALES","LI00292","PARRALES 1-C1",-12.1656,-76.9919,270,40,0.1000,"|","RNC04NLV",29,1289,12895,5.5000,0.0000,18.0000,441,2330,190,0," 1",0
4362,"PARRA_DEL_RIEGO","LI06334","PARRA_DEL_RIEGO 3-C1",-12.0758,-77.1069,250,40,0.1000,"|","RNC03NSI",39,4040,4070,7.0000,1.0000,23.0000,469,2531,141,0," 1",0
4362,"PARQUE_SAN_MARTIN","LI04069","PARQUE_SAN_MARTIN 3-C1",-12.1059,-77.0012,160,40,0.1000,"|","RNC02NMA",6,62682,62684,8.0000,0.0000,20.8500,99,2200,200,0," 1",0
4362,"PARRA_DEL_RIEGO","LI06334","PARRA_DEL_RIEGO 1-C1",-12.0758,-77.1069,60,40,0.1000,"|","RNC03NSI",39,4040,4040,7.0000,0.0000,23.0000,467,2531,141,0," 1",0
4362,"PARQUE_NINOS","LI05940","PARQUE_NINOS 2-C1",-12.2417,-76.9163,65,40,0.1000,"|","RNC06NMA",56,63924,63922,7.0000,0.0000,21.0000,368,2100,164,0," 1",0
4362,"PARQUEBAJO","LI00169","PARQUEBAJO 2-C1",-12.1540,-77.0143,40,40,0.1000,"|","RNC04NLV",29,1170,11706,7.0000,0.0000,21.0000,362,2330,190,0," 1",0
4362,"PARQUEBAJO","LI00169","PARQUEBAJO 1-C1",-12.1540,-77.0143,290,40,0.1000,"|","RNC04NLV",29,1170,11705,7.0000,1.0000,21.0000,361,2330,190,0," 1",0
4362,"PARQUE_TUPAC_AMARU","LI05673","PARQUE_TUPAC_AMARU 3-C1",-11.9569,-76.9763,225,40,0.1000,"|","RNC05NSI",51,600,640,7.0000,6.0000,23.0000,263,2350,110,0," 1",0
4362,"PARQUE_TUPAC_AMARU","LI05673","PARQUE_TUPAC_AMARU 2-C1",-11.9569,-76.9763,70,40,0.1000,"|","RNC05NSI",51,600,620,4.0000,0.0000,23.0000,262,2350,110,0," 1",0
4362,"PARQUE_TUPAC_AMARU","LI05673","PARQUE_TUPAC_AMARU 1-C1",-11.9569,-76.9763,310,40,0.1000,"|","RNC05NSI",51,600,600,7.0000,5.0000,23.0000,261,2350,110,0," 1",0
4362,"PARQUE_SANTA_ROSA_VES","LI05936","PARQUE_SANTA_ROSA_VES 3-C1",-12.2392,-76.9299,210,40,0.1000,"|","RNC06NMA",56,1890,1520,7.0000,2.0000,23.5000,436,2100,164,0," 1",0
4362,"PARQUE_SANTA_ROSA_VES","LI05936","PARQUE_SANTA_ROSA_VES 2-C1",-12.2392,-76.9299,90,40,0.1000,"|","RNC06NMA",56,1890,1500,7.0000,4.0000,23.5000,435,2100,164,0," 1",0
4362,"PARQUE_SANTA_ROSA_VES","LI05936","PARQUE_SANTA_ROSA_VES 1-C1",-12.2392,-76.9299,300,40,0.1000,"|","RNC06NMA",56,1890,1890,7.0000,1.0000,23.5000,434,2100,164,0," 1",0
4362,"PARQUE_SAN_SALVADOR","LI06072","PARQUE_SAN_SALVADOR 3-C1",-12.2105,-77.0206,90,40,0.1000,"|","RNC04NMA",19,4995,5005,7.0000,0.0000,22.0000,466,2502,237,0," 1",0
4362,"PARRA_DEL_RIEGO","LI06334","PARRA_DEL_RIEGO 2-C1",-12.0758,-77.1069,140,40,0.1000,"|","RNC03NSI",39,4040,4059,7.0000,0.0000,23.0000,468,2531,141,0," 1",0
4362,"PAREDES","LI00153","PAREDES 2-C1",-12.0635,-77.0422,100,40,0.1000,"|","RNC02NLV",8,1155,11556,7.0000,0.0000,27.5000,185,2306,170,0," 1",0
4362,"PARQUE_ALAYZA","LI06099","PARQUE_ALAYZA 3-C1",-12.1075,-77.0425,120,40,0.1000,"|","RNC02NSI",38,14402,14581,7.0000,0.0000,29.0000,286,2521,251,0," 1",0
4362,"PARQUE_ALAYZA","LI06099","PARQUE_ALAYZA 2-C1",-12.1075,-77.0425,0,40,0.1000,"|","RNC02NSI",38,14402,14453,7.0000,0.0000,29.0000,285,2521,251,0," 1",0
4362,"PARQUE_ALAYZA","LI06099","PARQUE_ALAYZA 1-C1",-12.1075,-77.0425,270,40,0.1000,"|","RNC02NSI",38,14402,14402,7.0000,0.0000,29.0000,284,2521,251,0," 1",0
4362,"PARINACOCHAS_GARCIA_NARANJO","LI05756","PARINACOCHAS_GARCIA_NARANJO 3-C1",-12.0604,-77.0178,230,40,0.1000,"|","RNC03NLV",20,17197,17612,7.0000,3.0000,23.0000,469,2322,225,0," 1",0
4362,"PARINACOCHAS_GARCIA_NARANJO","LI05756","PARINACOCHAS_GARCIA_NARANJO 2-C1",-12.0604,-77.0178,75,40,0.1000,"|","RNC03NLV",20,17197,17312,7.0000,1.0000,23.0000,468,2322,225,0," 1",0
4362,"PARINACOCHAS_GARCIA_NARANJO","LI05756","PARINACOCHAS_GARCIA_NARANJO 1-C1",-12.0604,-77.0178,350,40,0.1000,"|","RNC03NLV",20,17197,17197,7.0000,2.0000,23.0000,467,2322,225,0," 1",0
4362,"PARINACOCHAS","LI00863","PARINACOCHAS 3-C1",-12.0810,-77.0211,120,40,0.1000,"|","RNC02NSI",38,27298,7302,4.5000,0.0000,14.0000,156,2521,251,0," 1",0
4362,"PARINACOCHAS","LI00863","PARINACOCHAS 2-C1",-12.0810,-77.0211,30,40,0.1000,"|","RNC02NSI",38,27298,7299,4.5000,0.0000,14.0000,155,2521,251,0," 1",0
4362,"PARQUE_PACHACAMILLA","LI05788","PARQUE_PACHACAMILLA 1-C1",-11.9721,-77.1126,290,40,0.1000,"|","RNC07NMA",57,17751,17751,7.0000,1.0000,20.0000,324,2110,167,0," 1",0
4362,"PAREDES","LI00153","PAREDES 3-C1",-12.0635,-77.0422,220,40,0.1000,"|","RNC02NLV",8,1155,11557,7.0000,2.0000,27.5000,55,2306,170,0," 1",0
4362,"PARQUE_CINCO","LI05719","PARQUE_CINCO 3-C1",-11.9221,-77.0549,220,40,0.1000,"|","RNC05NLV",54,10071,10093,7.0000,1.0000,24.0000,198,2040,154,0," 1",0
4362,"PAREDES","LI00153","PAREDES 1-C1",-12.0635,-77.0422,330,40,0.1000,"|","RNC02NLV",8,1155,11555,7.0000,0.0000,27.5000,1,2306,170,0," 1",0
4362,"PARAMONGA","LI00167","PARAMONGA 3-C1",-10.6764,-77.7988,130,40,0.1000,"|","RNC04NSI",46,1168,11687,3.0000,0.0000,50.0000,64,2340,210,0," 1",0
4362,"PARAMONGA","LI00167","PARAMONGA 2-C1",-10.6764,-77.7988,330,40,0.1000,"|","RNC04NSI",46,1168,11686,3.0000,0.0000,50.0000,63,2340,210,0," 1",0
4362,"PARAMONGA","LI00167","PARAMONGA 1-C1",-10.6764,-77.7988,270,40,0.1000,"|","RNC04NSI",46,1168,11685,8.0000,0.0000,50.0000,62,2340,210,0," 1",0
4362,"PARAISO_LIMA","LI05846","PARAISO_LIMA 3-C1",-12.1464,-76.9350,150,40,0.1000,"|","RNC04NMA",19,780,820,7.0000,0.0000,16.0000,396,2502,237,0," 1",0
4362,"PARAISO_LIMA","LI05846","PARAISO_LIMA 2-C1",-12.1464,-76.9350,50,40,0.1000,"|","RNC04NMA",19,780,800,3.0000,0.0000,16.0000,395,2502,237,0," 1",0
4362,"PARAISO_LIMA","LI05846","PARAISO_LIMA 1-C1",-12.1464,-76.9350,270,40,0.1000,"|","RNC04NMA",19,780,780,7.0000,0.0000,16.0000,394,2502,237,0," 1",0
4362,"PARAISO_1RAETAPA","LI00745","PARAISO_1RAETAPA 3-C1",-11.9848,-77.0946,150,40,0.1000,"|","RNC07NMA",57,11359,11368,6.0000,0.0000,19.0000,335,2110,167,0," 1",0
4362,"PIERS","LI01036","PIERS 3-C1",-12.0182,-76.9981,200,40,0.1000,"|","RNC05NSI",51,4808,5429,7.0000,0.0000,35.0000,64,2350,110,0," 1",0
4362,"PARINACOCHAS","LI00863","PARINACOCHAS 1-C1",-12.0810,-77.0211,285,40,0.1000,"|","RNC02NSI",38,27298,7298,6.5000,0.0000,14.0000,154,2521,251,0," 1",0
4362,"PARQUE_INDUSTRIAL_NEXTEL","LI00860","PARQUE_INDUSTRIAL_NEXTEL 3-C1",-12.2953,-76.8413,180,40,0.1000,"|","RNC06NMA",56,27264,7268,7.0000,0.0000,35.0000,402,2100,164,0," 1",0
4362,"PASAJE_A","LI01040","PASAJE_A 3-C1",-11.8573,-77.1281,180,40,0.1000,"|","RNC05NSI",51,2435,3158,7.0000,1.0000,12.0000,368,2351,111,0," 1",0
4362,"PARQUE_NINOS","LI05940","PARQUE_NINOS 1-C1",-12.2417,-76.9163,290,40,0.1000,"|","RNC06NMA",56,63924,63924,7.0000,0.0000,21.0000,367,2100,164,0," 1",0
4362,"PARQUE_JUNIN","LI00534","PARQUE_JUNIN 3-C1",-11.9076,-77.0333,170,40,0.1000,"|","RNC05NLV",54,1545,15457,3.0000,0.0000,15.0000,87,2040,154,0," 1",0
4362,"PARQUE_JUNIN","LI00534","PARQUE_JUNIN 2-C1",-11.9076,-77.0333,25,40,0.1000,"|","RNC05NLV",54,1545,15456,3.0000,0.0000,15.0000,86,2040,154,0," 1",0
4362,"PARQUE_JUNIN","LI00534","PARQUE_JUNIN 1-C1",-11.9076,-77.0333,285,40,0.1000,"|","RNC05NLV",54,1545,15455,6.0000,0.0000,15.0000,85,2040,154,0," 1",0
4362,"PARQUE_INFANTIL_HUACHO","LI01717","PARQUE_INFANTIL_HUACHO 3-C1",-11.1076,-77.6019,250,40,0.1000,"|","RNC04NSI",46,14860,14880,8.0000,1.0000,17.0000,52,2340,210,0," 1",0
4362,"PARQUE_INFANTIL_HUACHO","LI01717","PARQUE_INFANTIL_HUACHO 2-C1",-11.1076,-77.6019,150,40,0.1000,"|","RNC04NSI",46,14860,14870,6.0000,1.0000,17.0000,51,2340,210,0," 1",0
4362,"PARQUE_INFANTIL_HUACHO","LI01717","PARQUE_INFANTIL_HUACHO 1-C1",-11.1076,-77.6019,70,40,0.1000,"|","RNC04NSI",46,14860,14860,7.0000,1.0000,17.0000,50,2340,210,0," 1",0
4362,"PARQUE_INDUSTRIAL_VENTANILLA","LI05850","PARQUE_INDUSTRIAL_VENTANILLA 3-C1",-11.8594,-77.1410,160,40,0.1000,"|","RNC05NSI",51,15333,15363,7.0000,7.0000,26.0000,279,2351,111,0," 1",0
4362,"PARQUE_CINCO","LI05719","PARQUE_CINCO 1-C1",-11.9221,-77.0549,320,40,0.1000,"|","RNC05NLV",54,10071,10071,7.0000,2.0000,24.0000,196,2040,154,0," 1",0
4362,"PARQUE_INDUSTRIAL_VENTANILLA","LI05850","PARQUE_INDUSTRIAL_VENTANILLA 1-C1",-11.8594,-77.1410,310,40,0.1000,"|","RNC05NSI",51,15333,15333,7.0000,1.0000,26.0000,277,2351,111,0," 1",0
4362,"PARQUE_CINCO","LI05719","PARQUE_CINCO 2-C1",-11.9221,-77.0549,70,40,0.1000,"|","RNC05NLV",54,10071,10082,7.0000,2.0000,24.0000,197,2040,154,0," 1",0
4362,"PARQUE_INDUSTRIAL_NEXTEL","LI00860","PARQUE_INDUSTRIAL_NEXTEL 2-C1",-12.2953,-76.8413,60,40,0.1000,"|","RNC06NMA",56,27264,7267,6.0000,0.0000,35.0000,401,2100,164,0," 1",0
4362,"PARQUE_INDUSTRIAL_NEXTEL","LI00860","PARQUE_INDUSTRIAL_NEXTEL 1-C1",-12.2953,-76.8413,270,40,0.1000,"|","RNC06NMA",56,27264,7264,7.0000,0.0000,35.0000,400,2100,164,0," 1",0
4362,"PARQUE_FARO","LI05148","PARQUE_FARO 3-C1",-12.1221,-77.0391,160,40,0.1000,"|","RNC02NMA",6,2504,3001,7.0000,5.0000,30.0000,491,2200,200,0," 1",0
4362,"PARQUE_FARO","LI05148","PARQUE_FARO 2-C1",-12.1221,-77.0391,0,40,0.1000,"|","RNC02NMA",6,2504,2509,7.0000,4.0000,30.0000,483,2200,200,0," 1",0
4362,"PARQUE_FARO","LI05148","PARQUE_FARO 1-C1",-12.1221,-77.0391,270,40,0.1000,"|","RNC02NMA",6,2504,1972,7.0000,7.0000,30.0000,474,2200,200,0," 1",0
4362,"PARQUE_COOPERATIVA","LI05787","PARQUE_COOPERATIVA 3-C1",-11.7768,-77.1673,255,40,0.1000,"|","RNC05NSI",51,17971,19063,7.0000,1.0000,28.5000,429,2351,111,0," 1",0
4362,"PARQUE_COOPERATIVA","LI05787","PARQUE_COOPERATIVA 2-C1",-11.7768,-77.1673,155,40,0.1000,"|","RNC05NSI",51,17971,19041,7.0000,1.0000,28.5000,428,2351,111,0," 1",0
4362,"PARQUE_COOPERATIVA","LI05787","PARQUE_COOPERATIVA 1-C1",-11.7768,-77.1673,35,40,0.1000,"|","RNC05NSI",51,17971,17971,7.0000,1.0000,28.5000,427,2351,111,0," 1",0
4362,"PARQUE_NINOS","LI05940","PARQUE_NINOS 3-C1",-12.2417,-76.9163,200,40,0.1000,"|","RNC06NMA",56,63924,63919,7.0000,3.0000,21.0000,369,2100,164,0," 1",0
4362,"PARQUE_INDUSTRIAL_VENTANILLA","LI05850","PARQUE_INDUSTRIAL_VENTANILLA 2-C1",-11.8594,-77.1410,70,40,0.1000,"|","RNC05NSI",51,15333,15361,7.0000,2.0000,26.0000,278,2351,111,0," 1",0
